// See `english.txt' for instructions on how to translate the game.

$mainNameOfLanguage         Deutsch
$winLobbyRoomCreate         Neuen Raum eroeffnen
$winLobbyRoomLeave          Raum verlassen

// Spielfenster

$winGameTitle                Spielmenü
$winGameResult               Ergebnis
$winGameLixSaved            Lix gerettet:
$winGameLixSavedInTime    Lix rechtzeitig gerettet:
$winGameResume               Weiterspielen
$winGameRestart              Level neustarten
$winGameSaveReplay          Replay speichern
$winGameMenu                 Beenden
$winGameCommentPerfect      Perfekt! Alle gerettet!
$winGameCommentMore         Super, mehr als notwendig!
$winGameCommentExactly      Ziel haargenau erreicht!
$winGameCommentFewer        Das sind leider zu wenige.
$winGameCommentNone         Das war wohl nix. Nochmal?
$winGameResultSkillsUsed        Fähigkeiten:
$winGameResultTimeUsed          Gebrauchte Zeit:
$winGameNetFirst            Ein hervorragender Sieg!
$winGameNetSecond           Fein, guter zweiter Platz.
$winGameNetMiddle           Naja, ganz okay. Revanche?
$winGameNetLast             Schade, du liegst hinten.
$winGameNetTieForFirst        Super, einer der Ersten!
$winGameNetTieForLast         Immerhin nicht alleine unten.
$winGameNetEverybodyTies          Wie das? Kein klarer Sieger?
$winGameNetZero             Null komma nix, diese Runde!
$winGameNetEverybodyZero         Haben wir nuklearen Winter?
$winGameReplayWinOne       hat gewonnen!
$winGameReplayWinTeam      haben gewonnen!
$winGameReplayTie           Das Spiel ist unentschieden.
$winGameOverwriteTitle      Replay überschreiben?
$winGameOverwriteQuestion   Soll dieses Replay wirklich überschrieben werden?

// Help texts inside the game

$gameSpawnintSlower           Fall-Intervall: Lix erscheinen langsamer.
$gameSpawnintFaster            Fall-Intervall: Lix erscheinen schneller.
$gamePause                Pause.
$gameZoom                 Level-Zoom an- oder ausschalten.
$gameSpeedSlow           Zeitlupe.
$gameSpeedFast           Schneller Vorlauf.
$gameSpeedTurbo          Turbo-Vorlauf.
$gameStateSave           Aktuellen Spielstand schnellspeichern.
$gameStateLoad           Den schnellgespeicherten Spielstand laden.
$gameRestart              Level neustarten.
$gameNuke                 Atombombe. Aktivierung durch Doppelklick.
$gameHintFirst           Einen Tipp für diesen Level lesen.
$gameHintNext            Den nächsten Tipp lesen.
$gameHintPrev            Den vorherigen Tipp lesen.
$gameHintOff             Den Tipp ausblenden.
$gameSpecTribe           Fähigkeiten eines anderen Teams ansehen.

// Editor allgemein

$editorUnsavedTitle          Änderungen speichern?
$editorUnsavedTitleNew      Level speichern?
$editorUnsavedQuestion       Moechtest du die Änderungen an diesem Level speichern?
$editorUnsavedQuestionNew   Moechtest du diesen neuen Level speichern?
$editorHotkey                 Hotkey:
$editorHotkeyHold            Hotkey: halte
$editorBarAt                 an
$editorBarHover              Objekte werden markiert.
$editorBarSelection          Objekte markiert.
$editorBarMoveWithKeysLong      Ziehe Objekte umher oder bewege sie mit [
$editorBarMoveWithKeysShort     Bewegen mit [
$editorBarMoveWithKeysMid       ], [
$editorBarMoveWithKeysEnd       ].

$editorButtonFileNew        Neu: Karte leeren und einen ganz neuen Level bauen.
$editorButtonFileExit       Beenden: Editor verlassen, auf Wunsch Änderungen speichern.
$editorButtonFileSave       Speichern: Level unter dem bisherigen Dateinamen abspeichern.
$editorButtonFileSaveAs     Speichern unter: Level unter einem neuen Dateinamen abspeichern.
$editorButtonGrid2          Raster 2: Objekt-Koordinaten beim Umherziehen auf 2er runden.
$editorButtonGridCustom     Benutzerdef. Raster: In den Hauptmenü-Optionen verstellbar.
$editorButtonGrid16         Raster 16: Objekt-Koordinaten beim Umherziehen auf 16er runden.
$editorButtonSelectAll      Alles: Alle Objekte auf dem Bildschirm in die Auswahl setzen.
$editorButtonSelectFrame    Rahmen: Mehrfachauswahl von Objekten durch Rahmenziehen.
$editorButtonSelectAdd      Hinzufügen: Neue Objekte auswählen, ohne alte abzuwählen.
$editorButtonUndo           Rückgängig: Nimmt die jüngsten Änderungen am Level zurück.
$editorButtonRedo           Doch wieder: Führt zurückgenommene Änderungen doch wieder aus.
$editorButtonSelectCopy     Kopieren: Ausgewählte Objekte klonen.
$editorButtonSelectDelete   Löschen: Ausgewählte Objekte löschen.
$editorButtonBackground     Hintergrund: Ausgewählte Objekte hinter andere setzen.
$editorButtonForeground     Vordergrund: Ausgewählte Objekte vor andere holen.
$editorButtonSelectFlip     Spiegeln: Ausgewähltes Terrain horizontal spiegeln.
$editorButtonSelectRotate   Drehen: Ausgewähltes Terrain um ein Viertel drehen.
$editorButtonSelectDark     Dunkel: Ausgewähltes Terrain im Spiel schwarz zeichnen.
$editorButtonSelectNoow     Nicht überschreiben: Ausgew. Ter. ueberschr. nur dunkles Ter.
$editorButtonViewZoom       Zoom: Vergrößerung der Karte ein- oder ausschalten.
$editorButtonHelp            (dies macht derzeit nichts)
$editorButtonMenuSize       Abmessungen: Festlegen der Größe und Topologie des Levels.
$editorButtonMenuScroll     Aussehen: Festlegen der Startposition und Hintergrundfarbe.
$editorButtonMenuVars       Variablen: Festlegen grundsätzlicher Level-Variablen.
$editorButtonMenuSkill      Fähigkeiten: Festlegen der nutzbaren Lix-Fähigkeiten.
$editorButtonAddTerrain     Terrain: Ein durchgrabbares Terrain-Object platzieren.
$editorButtonAddSteel       Stahl: Ein nicht-durchgrabbares Stahlobjekt platzieren.
$editorButtonAddHatch       Klappe: Eine Lix-Eingangsklappe platzieren.
$editorButtonAddGoal        Ziel: Ein Ziel, also einen Lix-Ausgang platzieren.
$editorButtonAddDeco        Dekoration: Ein harmloses Dekorationsobjekt platzieren.
$editorButtonAddHazard      Gefahr: Eine Falle, Wasser oder Feuer platzieren.

// SaveBrowser
$saveBrowserTitle            Speichern unter
$saveFilename                 Dateiname:
$saveBoxOverwriteTitle      Level überschreiben?
$saveBoxOverwriteQuestion   Soll dieser Level wirklich überschrieben werden?

// BitmapBrowser
$addTerrain                   Terrain hinzufuegen
$addSteel                     Stahl hinzufuegen
$addHatch                     Klappe hinzufuegen
$addGoal                      Ziel hinzufuegen
$addDeco                      Dekoration hinzufuegen
$addHazard                    Gefahr hinzufuegen

// Kartengroesse
$winSizeTitle                Level-Abmessungen
$winSizeL                    Links:
$winSizeR                    Rechts:
$winSizeU                    Oben:
$winSizeD                    Unten:
$winSizeX                    Breite:
$winSizeY                    Höhe:
$winSizeHex                  Hexadezimal anzeigen
$winSizeTorusX              Horizontal rundumgehend
$winSizeTorusY              Vertikal rundumgehend

// Scrollposition
$winScrollTitle              Aussehen des Levels
$winScrollManual             Anfangs sichtbaren Bereich manuell festlegen
$winScrollX                  X-Koordinate (0 = links)
$winScrollY                  Y-Koordinate (0 = oben)
$winScrollRed                  Hintergrund Rot
$winScrollGreen                  Hintergrund Grün
$winScrollBlue                  Hintergrund Blau
$winScrollJump               Dorthin scrollen
$winScrollCurrent            Aktuelle Position

// Variablenfenster
$winVarTitle                 Allgemeine Leveleinstellungen
$winVarAuthor                Autor
$winVarNameGerman           Deutscher Titel
$winVarNameEnglish          Englischer Titel
$winVarInitial               Anzahl Lix
$winVarRequired              Lix zu retten
$winVarSpawnintSlow         Fall-Intervall
$winVarSpawnintFast         Fall-I. schnell
$winVarClock                 Zeit/Nachspielz.

// Faehigkeits-Fenster
$winSkillTitle              Fähigkeits-Einstellungen
$winSkillUseExploder        Explodierer
$winSkillClear              Alle auf null
$winSkillEightTo            Klassische 8:
$winSkillAllTo              Alle 14 auf:

// Exporting a level into a file
$exportSingleLix             Ziel:
$exportSingleSpawnint        Fall-Int.:
$exportSingleClock           Zeit:
$exportMultiLix              Lix:
$exportMultiSpawnint         Fall-Int.:
$exportMultiClock            Nachspielzeit:

// Netzwerk-Chatnachrichten
$netChatWelcome1            Verbinde zum Zentralserver, eröffne selbst ein Spiel oder gib
$netChatWelcomeUnstable     Diese Version ist experimentell. Eröffne selbst ein Spiel oder gib
$netChatWelcome2            eine IP-Adresse/einen Rechnernamen ein und wähle "%s".
$netChatStartServer         Du bist der Server. Andere Spieler koennen zu dir verbinden.
$netChatStartClient         Suche Server unter
$netChatStartCancel         Verbindungsaufbau abgebrochen.
$netChatDisconnection         hat das Netzwerk verlassen.
$netChatWeTooOld           Deine Lix-Version ist zu alt, um verbinden zu koennen.
$netChatWeTooNew           Deine Lix-Version ist zu neu, um verbinden zu koennen.
$netChatSomeoneOld          Jemand wollte verbinden, aber seine Lix-Version war zu alt.
$netChatSomeoneNew          Jemand wollte verbinden, aber seine Lix-Version war zu neu.
$netChatNamedGuyOld        %s muss zunächst seine Lix-Version aktualisieren.
$netChatServerUpdate        Der Server sollte stets eine aktuelle Lix-Version nutzen.
$netChatWeConnected         Du hast das Netzwerk betreten. Wähle einen Raum zum Spielen.
$netChatWeInRoom           Du hast Raum Nr.
$netChatWeInRoom2         betreten.
$netChatWeInLobby          Du bist in die Lobby zurückgegangen.
$netChatPlayerInRoom       hat Raum Nr.
$netChatPlayerInRoom2     betreten.
$netChatPlayerInLobby      hat die Lobby betreten.
$netChatPlayerOutRoom      wechselt in Raum Nr.
$netChatPlayerOutRoom2    .
$netChatPlayerOutLobby     hat den Raum verlassen.
$netChatVersionYours        Deine Version ist
$netChatVersionServer       , der Server verlangt
$netChatServerUpdate        Der Server sollte seine Lix-Version aktualisieren.
$netChatPleaseDownload      Lade die neueste Version herunter:
$netChatLevelChange         hat diesen Level gewaehlt:
$netGameStart                Das Spiel beginnt.
$netGameHowToChat1        Du kannst mit [
$netGameHowToChat2        ] chatten.
$netGameEnd                  Das Spiel ist zu Ende.
$netGameEndResult           Spielergebnis:
$netGameOvertime1           hat zu Ende gespielt und
$netGameOvertime2           Lix gerettet.
$netGameOvertime2One       eine Lix gerettet.
$netGameOvertime3           Jetzt beginnt die Nachspielzeit von
$netGameOvertime4           Minuten!
$netGameOvertime4One       Minute!
$netGameOvertime4Sec       Sekunden!

// Optionsfenster
$optionTitle                  Optionen
$optionGroupGeneral           Allgemein
$optionGroupGraphics          Grafik
$optionGroupControls          Steuerung
$optionGroupGameKeys          Spieltasten
$optionGroupEditorKeys        Editortasten
$optionGroupMenuKeys          Menütasten
$optionGroupSound             Audio
$optionUserName              Spielername
$optionReplayAutoSolutions   Level-Lösungen auto-speichern
$optionReplayAutoMulti       Im Mehrspieler auto-speichern
$optionReplayCancel          Replay-Ende: deaktiviere >>
$optionReplayCancelAt        × ¹⁄₁₅ Sekunden vor Ende
$optionMouseSpeed            Mausgeschwindigkeit
$optionScrollSpeedEdge       Scroll-Geschw. am Bildrand
$optionScrollSpeedClick      Scroll-Geschw. mit dieser Taste
$optionAvoidBuilderQueuing   Builder → Nichtbuilder bevorzugen
$optionAvoidBatterToExploder Batter → Nichtexploder bevorzugen

$optionScreenWindowed           Fenstermodus
$optionScreenWindowedRes        Fenster-Auflösung
$optionArrowsReplay             Pfeile im Replay
$optionArrowsNetwork            Pfeile im Netzwerkspiel
$optionIngameTooltips           Tooltips im Spiel
$optionShowButtonHotkeys        Button-Hotkeys anzeigen
$optionGuiColorRed              Menüfarbe Rot
$optionGuiColorGreen            Menüfarbe Grün
$optionGuiColorBlue             Menüfarbe Blau
$optionSoundVolume              Klanglautstärke
$optionLanguage                 Sprache/Language

$optionKeyUnassigned         nichts
$optionKeyForceLeft         Nur links
$optionKeyForceRight        Nur rechts
$optionKeyScroll             Scrollen
$optionKeyPriorityInvert    Priorität invert.
$optionKeySpawnintSlower    Spawn langs.
$optionKeySpawnintFaster    Spawn schn.
$optionKeyPause              Pause
$optionKeyFrameBackMany       1 Sek. zurück
$optionKeyFrameBackOne        1 Bild zurück
$optionKeyFrameAheadOne       1 Bild vor
$optionKeyFrameAheadMany      10 Sek. vor
$optionKeySpeedFast         Schneller Vorl.
$optionKeySpeedTurbo        Turbo
$optionKeyRestart            Neustart
$optionKeyStateLoad         Stand laden
$optionKeyStateSave         Stand speichern
$optionKeyZoomIn             Zoom +
$optionKeyZoomOut            Zoom −
$optionKeyChat               Chat
$optionKeySpecTribe         Team zusehen
$optionKeyNuke               Atombombe

$optionKeyMenuOkay           Okay/ja
$optionKeyMenuEdit           Editieren
$optionKeyMenuExport         Exportieren
$optionKeyMenuDelete         Löschen/nein
$optionKeyMenuUpDir          Ordner hoch
$optionKeyMenuUpBy5          Rauf um 5
$optionKeyMenuUpBy1          Rauf um 1
$optionKeyMenuDownBy1        Runter um 1
$optionKeyMenuDownBy5        Runter um 5
$optionKeyMenuExit           Zurück/abbr.

$optionEdLeft                Nach links
$optionEdRight               Nach rechts
$optionEdUp                  Nach oben
$optionEdDown                Nach unten
$optionEdGrid                Raster
$optionEdSelectAll           Alles ausw.
$optionEdSelectFrame         Rahmen
$optionEdSelectAdd           Mehr ausw.
$optionEdUndo                Rückgängig
$optionEdRedo                Doch wieder
$optionEdCopy                Kopieren
$optionEdDelete              Loeschen
$optionEdForeground          Nach vorn
$optionEdBackground          Nach hinten
$optionEdMirror              Spiegeln
$optionEdRotate              Drehen
$optionEdDark                Schwarz
$optionEdNoow                Ni. überschr.
$optionEdMenuSize           Levelgröße
$optionEdMenuVars           Allg. Menü
$optionEdMenuSkills         Fähigkeiten
$optionEdAddTerrain         Terrain hinzuf.
$optionEdAddSteel           Stahl hinzuf.
$optionEdAddHatch           Klappe hinzuf.
$optionEdAddGoal            Ziel hinzuf.
$optionEdAddDeco            Deko hinzuf.
$optionEdAddHazard          Gefahr hinzuf.
$optionEdGridCustom         Benutzerdefinierte Rastergröße

// Neuen Spieler begruessen (Mini-Dialog)
$windowAskNameTitle          Lix
$windowAskNameFirst          Hallo und Willkommen!
$windowAskNameSecond         Wie heißt du?
